# 26/05/2025 10:34:21 AM: Prices - EPEX Spot Market Auction - austria - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak"
03/04/2025,"70.98,73.07,70.08,,70.93,74.7,98.59,134.86,164.96,133.3,79.11,41.64,1,0.28,-1.93,0.01,5.85,49.41,85.87,140.67,184.55,174.91,140,115.22,106.39,-1.93,184.55,71.27,118.28,63.76,1.05,115.13,134.13,83.94,59.98,76.39,94.77,32.41,107.89,128.06,10.25,35.29,143.62,7.81"
02/04/2025,"70.34,70.26,70.2,,71.89,72.65,86.52,120.14,154.67,126.19,85.96,70.04,70.04,76.51,86.2,90.15,104.56,100.07,114.93,109.96,144.91,130.06,109.97,89.07,75.64,70.04,154.67,70.67,108.5,88.06,89.36,117.47,101.19,95.87,98.29,73.64,89.58,88.71,93.45,121.74,75.7,102.43,109.94,82.92"
01/04/2025,"102.47,96.58,94.65,,96.03,93.54,103.31,131.34,176.31,159.37,110.04,87.75,77.17,70,70,77.16,81.1,99.44,102.35,132.8,161.81,142.21,115,97.69,81.08,70,176.31,97.43,126.13,108.58,74.57,124.1,109,106.63,102.42,97.76,111.78,91.57,110.85,144.27,76.23,90.01,121.77,77.2"
31/03/2025,"70.3,65.29,66.42,,70.59,73.06,96.88,127.23,166.08,175.67,137.36,112.75,106.5,93.31,85.5,78.45,75.64,82.65,109.34,138.82,164.93,154.09,135.69,115.62,102.52,65.29,175.67,68.15,115.81,133.07,83.23,123.94,126.98,108.53,113.41,73.76,91.98,108.15,103.65,151.59,99.52,86.52,135.28,92.03"
30/03/2025,"46.22,15.88,,,5.09,1.2,0.09,0.72,0.75,1.11,0.06,0,-1.65,-15.98,-23.41,-24.02,-12.34,-4.05,1.36,39.82,92,86,78.95,77.85,55.99,-24.02,92,22.4,0.69,-0.12,-18.94,32.28,74.7,18.33,4.41,13.7,9.99,-9.53,33.52,0.66,-10.26,-9.76,71.77,-12.9"
29/03/2025,"119.14,108.03,100.25,,100,100.22,95.96,99.7,101.63,96.72,80.68,88.04,93.34,88.07,110.04,110.05,111.26,121.43,125.07,151.39,154.14,129.03,103.97,85.09,69.85,69.85,154.14,106.86,99.38,89.7,104.86,138.01,96.99,105.96,110.85,103.93,103.12,97.28,101.07,94.68,94.87,116.95,115.58,100.13"
28/03/2025,"90.74,79.42,79.02,,79.39,80.06,108.98,129.97,122.2,102.08,80.04,89.9,73.72,79.46,88.03,100.69,104.55,108.96,132.01,165.99,165.9,151.03,127.93,121.95,112.46,73.72,165.99,82.14,110.3,86.44,93.18,143.22,128.34,107.27,107.61,86.27,96.22,89.81,106.93,108.57,82.78,111.55,140.88,89.39"
27/03/2025,"105.17,99.05,98.09,,98.87,97.69,105.11,130.6,140.09,123.5,89.92,80.09,45.68,51.94,39.48,78.32,84.1,102.04,130.74,161.17,172.01,142.02,124.94,113.35,101.06,39.48,172.01,100.3,118.37,84.8,63.46,141.49,120.34,104.79,96.58,100.66,109.33,74.13,113,121.03,54.3,98.8,135.76,63.27"
26/03/2025,"101.02,99.05,99.02,,99.09,100.22,112.22,133.56,142.88,137.93,111.86,100,96.95,95.1,84.97,94.75,102.05,117.26,138.88,163.91,170.87,154.18,129.98,121.35,109.57,84.97,170.87,99.55,122.22,111.69,94.22,147.73,128.77,117.36,117.88,101.77,110.88,102.95,116.85,131.56,94.26,113.24,141.64,95.64"
25/03/2025,"102.54,102.02,100.76,,104.48,104.16,109.33,139.21,142.99,138.31,120.25,113.62,111.19,112.2,113.1,115.15,122.98,135.23,146.37,175,171.25,148.6,136,127.5,102.05,100.76,175,102.45,123.92,120.84,115.86,156.96,128.54,124.76,131.22,103.88,113.19,118.35,118.3,135.19,112.53,129.93,143.4,114.71"
